Index,X,Y,Z
640,1079045.94,-4853357.06,3981837.01
641,1079045.95,-4853357.01,3981837.08
642,1079045.91,-4853356.98,3981837.13
643,1079045.86,-4853357.05,3981837.21
644,1079045.84,-4853357.02,3981837.26
645,1079045.80,-4853357.04,3981837.39
646,1079045.78,-4853357.02,3981837.42
647,1079045.78,-4853357.00,3981837.45
648,1079045.79,-4853356.91,3981837.40
649,1079045.80,-4853356.91,3981837.38
650,1079045.85,-4853356.93,3981837.36
651,1079045.88,-4853356.95,3981837.33
652,1079045.95,-4853356.95,3981837.31
653,1079045.98,-4853356.96,3981837.28
654,1079046.00,-4853356.99,3981837.24
655,1079046.03,-4853357.06,3981837.30
656,1079046.05,-4853357.13,3981837.38
657,1079046.00,-4853357.20,3981837.46
658,1079045.98,-4853357.27,3981837.54
659,1079045.96,-4853357.28,3981837.54
660,1079045.93,-4853357.21,3981837.48
661,1079045.95,-4853357.23,3981837.45
662,1079045.98,-4853357.24,3981837.41
